mtry,sample.fraction,MSE,runtime_training,runtime_prediction
3.0,0.66,654522377.817613,0.209999999999127,0.0499999999992724
3.0,0.67,636241605.380502,0.220000000001164,0.0499999999992724
3.0,0.68,636228509.717776,0.220000000001164,0.0400000000008731
3.0,0.69,636731950.267122,0.299999999999272,0.0400000000008731
3.0,0.7,638428496.550172,0.239999999997963,0.0299999999988358
3.0,0.71,634903563.293137,0.240000000001601,0.0400000000008731
3.0,0.72,634874564.818501,0.229999999999563,0.0499999999992724
3.0,0.73,622826374.289604,0.319999999999709,0.0499999999992724
3.0,0.74,625603474.720556,0.229999999999563,0.0299999999988358
3.0,0.75,640659445.645062,0.229999999999563,0.0400000000008731
3.0,0.76,632585946.784344,0.229999999999563,0.0400000000008731
3.0,0.77,629908689.486452,0.25,0.0600000000013097
3.0,0.78,620174256.564663,0.470000000001164,0.0600000000013097
3.0,0.79,648090881.574183,0.459999999999127,0.0799999999981083
