sample.fraction,min.node.size,MSE,runtime_training,runtime_prediction
0.06,30.0,1160181702.31914,0.0600000000013097,0.0299999999988358
0.06,31.0,1172690354.57318,0.0599999999976717,0.0300000000024738
0.06,32.0,1185984897.97426,0.0600000000013097,0.0099999999983992
0.06,33.0,1197596466.29051,0.0600000000013097,0.0200000000004366
0.06,34.0,1210359907.10639,0.0599999999976717,0.0400000000008731
0.06,35.0,1224777060.42375,0.0600000000013097,0.0299999999988358
0.06,36.0,1233800865.7031,0.0499999999992724,0.0400000000008731
0.06,37.0,1246077861.56787,0.0600000000013097,0.0200000000004366
0.06,38.0,1258996281.3034,0.069999999999709,0.0299999999988358
0.06,39.0,1269769874.87016,0.0500000000029104,0.0300000000024738
0.06,40.0,1283846455.81342,0.069999999999709,0.0099999999983992
0.06,41.0,1295631962.76686,0.0499999999992724,0.0299999999988358
0.06,42.0,1311970758.90421,0.069999999999709,0.0300000000024738
0.06,43.0,1329972872.86689,0.0600000000013097,0.0099999999983992
0.06,44.0,1348450220.58164,0.0600000000013097,0.0300000000024738
0.06,45.0,1367439062.2852,0.0400000000008731,0.0400000000008731
0.06,46.0,1381762118.52578,0.0499999999992724,0.0299999999988358
0.06,47.0,1398298175.6393,0.0499999999992724,0.0299999999988358
0.06,48.0,1413607775.84606,0.0599999999976717,0.0100000000020373
0.06,49.0,1432251485.91765,0.0499999999992724,0.0299999999988358
0.06,50.0,1444730974.79655,0.0400000000008731,0.0299999999988358
0.07,1.0,807128899.437276,0.119999999998981,0.0299999999988358
0.07,2.0,812013043.25714,0.0900000000001455,0.0299999999988358
0.07,3.0,815443184.192289,0.0999999999985448,0.0100000000020373
0.07,4.0,815907003.279469,0.0799999999981083,0.0299999999988358
0.07,5.0,827214807.86536,0.0799999999981083,0.0299999999988358
0.07,6.0,833505191.517879,0.069999999999709,0.0400000000008731
0.07,7.0,837481215.437253,0.0800000000017462,0.0300000000024738
0.07,8.0,839398936.377734,0.0800000000017462,0.0300000000024738
0.07,9.0,852373669.09821,0.0800000000017462,0.0299999999988358
0.07,10.0,860671599.996281,0.0800000000017462,0.0099999999983992
0.07,11.0,877201510.989677,0.0799999999981083,0.0300000000024738
0.07,12.0,887903849.209091,0.069999999999709,0.0299999999988358
0.07,13.0,900515348.578884,0.0800000000017462,0.0099999999983992
0.07,14.0,912407074.268253,0.0799999999981083,0.0300000000024738
0.07,15.0,926760452.74142,0.069999999999709,0.0299999999988358
0.07,16.0,943015627.03082,0.0600000000013097,0.0299999999988358
0.07,17.0,957712109.46973,0.0600000000013097,0.0300000000024738
0.07,18.0,970105680.813613,0.0600000000013097,0.0299999999988358
0.07,19.0,979109522.597208,0.0600000000013097,0.0300000000024738
0.07,20.0,991741760.017925,0.069999999999709,0.0299999999988358
0.07,21.0,1001276975.31642,0.0599999999976717,0.0400000000008731
0.07,22.0,1011712237.64367,0.0600000000013097,0.0299999999988358
0.07,23.0,1024996989.85483,0.0599999999976717,0.0299999999988358
0.07,24.0,1037273925.77609,0.0600000000013097,0.0299999999988358
0.07,25.0,1051467558.06656,0.069999999999709,0.0100000000020373
0.07,26.0,1064212215.19888,0.0600000000013097,0.0200000000004366
0.07,27.0,1075056509.2507,0.0599999999976717,0.0300000000024738
0.07,28.0,1089277248.35063,0.069999999999709,0.0299999999988358
0.07,29.0,1100869387.57767,0.0600000000013097,0.0299999999988358
0.07,30.0,1112952766.67488,0.0600000000013097,0.0300000000024738
0.07,31.0,1125727688.83706,0.0600000000013097,0.0200000000004366
0.07,32.0,1139459380.42113,0.0600000000013097,0.0299999999988358
0.07,33.0,1150141573.97413,0.0599999999976717,0.0299999999988358
0.07,34.0,1162898215.15099,0.0600000000013097,0.0099999999983992
0.07,35.0,1172836866.80531,0.0599999999976717,0.0300000000024738
0.07,36.0,1185086226.84606,0.0400000000008731,0.0299999999988358
0.07,37.0,1199345083.26632,0.0600000000013097,0.0300000000024738
0.07,38.0,1208862704.68301,0.0600000000013097,0.0299999999988358
0.07,39.0,1218044676.23254,0.0600000000013097,0.0100000000020373
0.07,40.0,1228629123.87911,0.0599999999976717,0.0299999999988358
0.07,41.0,1238064050.75177,0.0400000000008731,0.0299999999988358
0.07,42.0,1252168441.14676,0.0599999999976717,0.0200000000004366
0.07,43.0,1263190961.73058,0.0400000000008731,0.0299999999988358
0.07,44.0,1278057550.19291,0.0600000000013097,0.0200000000004366
0.07,45.0,1289321945.44084,0.0599999999976717,0.0200000000004366
0.07,46.0,1299069754.24858,0.069999999999709,0.0100000000020373
0.07,47.0,1311187273.82131,0.0600000000013097,0.0200000000004366
0.07,48.0,1326834081.87048,0.0400000000008731,0.0099999999983992
0.07,49.0,1340801782.55807,0.0599999999976717,0.0200000000004366
0.07,50.0,1354285108.06477,0.0400000000008731,0.0299999999988358
0.08,1.0,786163099.483198,0.139999999999418,0.0299999999988358
0.08,2.0,783448519.808563,0.110000000000582,0.0200000000004366
0.08,3.0,788925438.764323,0.110000000000582,0.0299999999988358
0.08,4.0,790454267.130225,0.100000000002183,0.0400000000008731
0.08,5.0,791531665.191334,0.0900000000001455,0.0200000000004366
0.08,6.0,794396906.272236,0.0800000000017462,0.0300000000024738
0.08,7.0,800214307.33819,0.0800000000017462,0.0300000000024738
0.08,8.0,809907837.967409,0.0900000000001455,0.0200000000004366
0.08,9.0,816606094.137646,0.100000000002183,0.0200000000004366
0.08,10.0,827367378.692326,0.069999999999709,0.0299999999988358
0.08,11.0,838504641.763798,0.0799999999981083,0.0299999999988358
0.08,12.0,848583992.250602,0.0799999999981083,0.0200000000004366
0.08,13.0,858764746.089083,0.0600000000013097,0.0200000000004366
0.08,14.0,868342698.338176,0.0800000000017462,0.0299999999988358
0.08,15.0,882423473.718038,0.0599999999976717,0.0299999999988358
0.08,16.0,886027839.267851,0.0600000000013097,0.0200000000004366
0.08,17.0,901010261.03215,0.0800000000017462,0.0199999999967986
0.08,18.0,915020488.791664,0.0599999999976717,0.0299999999988358
0.08,19.0,926101638.907958,0.0600000000013097,0.0299999999988358
0.08,20.0,935729864.49686,0.069999999999709,0.0199999999967986
0.08,21.0,949730206.738011,0.0799999999981083,0.0200000000004366
0.08,22.0,961345507.705798,0.0800000000017462,0.0299999999988358
0.08,23.0,974149727.00155,0.069999999999709,0.0299999999988358
0.08,24.0,991396225.042403,0.069999999999709,0.0400000000008731
0.08,25.0,1001906105.83167,0.0800000000017462,0.0099999999983992
0.08,26.0,1019270289.62675,0.069999999999709,0.0100000000020373
0.08,27.0,1029641845.88824,0.069999999999709,0.0299999999988358
0.08,28.0,1042047229.70948,0.069999999999709,0.0200000000004366
0.08,29.0,1050605688.47754,0.069999999999709,0.0299999999988358
0.08,30.0,1063227977.41632,0.0600000000013097,0.0299999999988358
0.08,31.0,1075239684.39743,0.0600000000013097,0.0200000000004366
0.08,32.0,1085141290.45781,0.0599999999976717,0.0400000000008731
0.08,33.0,1096838107.57802,0.0600000000013097,0.0299999999988358
0.08,34.0,1107767425.5745,0.0499999999992724,0.0400000000008731
0.08,35.0,1117640368.45174,0.0600000000013097,0.0200000000004366
0.08,36.0,1126679667.84419,0.0499999999992724,0.0299999999988358
0.08,37.0,1134539029.74812,0.0600000000013097,0.0299999999988358
0.08,38.0,1141893087.08556,0.0600000000013097,0.0200000000004366
0.08,39.0,1152952304.71912,0.0799999999981083,0.0299999999988358
0.08,40.0,1163294477.65265,0.0600000000013097,0.0300000000024738
0.08,41.0,1176414339.88663,0.069999999999709,0.0099999999983992
0.08,42.0,1182873459.33409,0.0499999999992724,0.0299999999988358
0.08,43.0,1194246578.90074,0.069999999999709,0.0100000000020373
0.08,44.0,1204021725.14151,0.0600000000013097,0.0299999999988358
0.08,45.0,1215200263.50478,0.0599999999976717,0.0100000000020373
0.08,46.0,1224272129.356,0.0600000000013097,0.0299999999988358
0.08,47.0,1237939721.29291,0.0600000000013097,0.0300000000024738
0.08,48.0,1244129282.33324,0.0499999999992724,0.0299999999988358
